smiles,solvent,source,peakwavs_max,wb97xd2_dev2svp_gaus_solv,wb97xd2_dev2svp_gaus_vac,wb97xd3_def2svpd_orca_vac
B1C=Cc2c(ccc3ccccc23)N1,C1CCCCC1,chem_fluor,345.0,304.160125588697,,290.05847953216374
B1C=Cc2cc3c(cc2N1)C=CBN3,C1CCCCC1,chem_fluor,357.0,327.40138353487885,,308.2276907780264
B1C=Cc2cc3ccccc3cc2N1,C1CCCCC1,chem_fluor,359.0,326.8318397469689,,307.1587812732227
B1C=Cc2ccc3ccccc3c2N1,C1CCCCC1,multiple,351.5,303.0525209570594,,292.52182118424156
B1Nc2cccc3c2-n2c1ccc2BN3,ClCCl,chem_fluor,316.0,288.1844380403458,,279.2163927043459
B1Nc2ccccc2-c2ccccc21,C1CCCCC1,chem_fluor,326.0,281.4280202446608,,272.28809837505486
BPPB,CS(C)=O,jcole,505.0,283.8567896712755,,270.09366151165324
C#C/C(=C/c1cc2c3c(c1)CCCN3CCC2)C(=O)O,CN(C)C=O,dye_agg,441.0,382.6806159923464,,337.3231773667029
C#C/C(=C\c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2c4c(c5c(c2-3)C(CCCCCC)(CCCCCC)c2cc(-c3ccc(C=C(C#N)C(=O)O)s3)ccc2-5)C(CCCCCC)(CCCCCC)c2cc(-c3ccc(N(c5ccc(OC)cc5)c5ccc(OC)cc5)cc3)ccc2-4)s1)C(=O)O,CC#N,dsscdb,474.0,,,
C#CC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(C)C)ccc1-2,C1COCCO1,chem_fluor,405.0,349.6306321547397,320.9358904676864,319.5052821437774
C#CC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(C)C)ccc1-2,CC#N,chem_fluor,409.0,356.7729312924387,320.9358904676864,319.5052821437774
C#CC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(C)C)ccc1-2,CCO,chem_fluor,413.0,356.79346262300743,320.9358904676864,319.5052821437774
C#CC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(C)C)ccc1-2,Cc1ccccc1,chem_fluor,407.0,351.2548864087021,320.9358904676864,319.5052821437774
